,Team,Cap_Space,Year
0,Jaguars,33119720,2015
1,Titans,23637131,2015
2,Browns,17967334,2015
3,Raiders,13866116,2015
4,49ers,12010856,2015
5,Giants,11144891,2015
6,Dolphins,10979351,2015
7,Eagles,8350492,2015
8,Bengals,7595523,2015
9,Buccaneers,7557472,2015
10,Packers,7175737,2015
11,Falcons,5758533,2015
12,Redskins,5429213,2015
13,Bills,5207791,2015
14,Colts,5101602,2015
15,Steelers,4798137,2015
16,Panthers,4701835,2015
17,Broncos,4072438,2015
18,Cowboys,3440345,2015
19,Bears,3062237,2015
20,Vikings,3031720,2015
21,Chiefs,2951007,2015
22,Cardinals,2859721,2015
23,Rams,2623004,2015
24,Chargers,2573576,2015
25,Jets,2368478,2015
26,Texans,2157232,2015
27,Ravens,1940010,2015
28,Saints,1678082,2015
29,Patriots,1232678,2015
30,Lions,962556,2015
31,Seahawks,235036,2015
0,Browns,49470715,2016
1,49ers,40814896,2016
2,Jaguars,39756074,2016
3,Titans,24133010,2016
4,Redskins,15043324,2016
5,Panthers,14400468,2016
6,Packers,10040075,2016
7,Raiders,9468226,2016
8,Colts,8938534,2016
9,Bears,8418158,2016
10,Eagles,8323433,2016
11,Dolphins,8110302,2016
12,Patriots,7715542,2016
13,Broncos,7227778,2016
14,Bengals,6639611,2016
15,Lions,6029288,2016
16,Buccaneers,5953300,2016
17,Saints,5678683,2016
18,Chiefs,5572515,2016
19,Texans,5400709,2016
20,Cardinals,4702837,2016
21,Cowboys,4145061,2016
22,Steelers,3788265,2016
23,Seahawks,3470555,2016
24,Giants,2651666,2016
25,Ravens,2634293,2016
26,Bills,2517697,2016
27,Falcons,2136656,2016
28,Chargers,1140729,2016
29,Jets,975111,2016
30,Rams,391973,2016
31,Vikings(,274271,2016
0,Browns,58939179,2017
1,49ers,56887969,2017
2,Jaguars,31380887,2017
3,Titans,31253784,2017
4,Jets,18071323,2017
5,Colts,17823590,2017
6,Buccaneers,16445539,2017
7,Vikings,13408556,2017
8,Broncos,11535248,2017
9,Texans,10998989,2017
10,Bengals,10993104,2017
11,Bills,10616458,2017
12,Cowboys,8591313,2017
13,Raiders,8323945,2017
14,Bears,7509609,2017
15,Steelers,5278252,2017
16,Rams,5042751,2017
17,Lions,4733717,2017
18,Panthers,4591273,2017
19,Chargers,4460370,2017
20,Packers,4381224,2017
21,Patriots,3502840,2017
22,Chiefs,3250877,2017
23,Ravens,2964388,2017
24,Redskins,2878803,2017
25,Eagles,2386397,2017
26,Cardinals,2363196,2017
27,Saints,1261020,2017
28,Giants,1122146,2017
29,Falcons,703410,2017
30,Seahawks(,330516,2017
31,Dolphins(,528603,2017
0,Browns,59649583,2018
1,Colts,51385724,2018
2,49ers,40002367,2018
3,Titans,24906667,2018
4,Texans,24439555,2018
5,Jets,16627140,2018
6,Cowboys,11131774,2018
7,Eagles,10444352,2018
8,Jaguars,10348156,2018
9,Redskins,9788986,2018
10,Bengals,9665063,2018
11,Steelers,9650658,2018
12,Bills,9013621,2018
13,Dolphins,7573488,2018
14,Packers,7044355,2018
15,Cardinals,6958994,2018
16,Raiders,6910243,2018
17,Buccaneers,6694471,2018
18,Lions,6308617,2018
19,Broncos,5265944,2018
20,Ravens,5197749,2018
21,Patriots,5118106,2018
22,Chiefs,5047678,2018
23,Seahawks,4959093,2018
24,Bears,4661121,2018
25,Falcons,3856706,2018
26,Giants,3294110,2018
27,Chargers,2564564,2018
28,Saints,1998764,2018
29,Rams,1903293,2018
30,Panthers,1772708,2018
31,Vikings,1247683,2018
